Year;Month;Day;Date;CZ
2015;5;7;7/5/2015;0.196849431818182
2015;5;8;8/5/2015;0.191747159090909
2015;5;9;9/5/2015;0.189483901515151
2015;5;10;10/5/2015;0.193142045454545
2015;5;11;11/5/2015;0.173150568181818
2015;5;12;12/5/2015;0.081717803030303
2015;5;13;13/5/2015;0.183882575757576
2015;5;14;14/5/2015;0.179203598484849
2015;5;15;15/5/2015;0.174190340909091
2015;5;16;16/5/2015;0.0889488636363636
2015;5;17;17/5/2015;0.182962121212121
2015;5;18;18/5/2015;0.182979166666667
2015;5;19;19/5/2015;0.179029356060606
2015;5;20;20/5/2015;0.168038825757576
2015;5;21;21/5/2015;0.178398674242424
2015;5;22;22/5/2015;0.177238636363636
2015;5;23;23/5/2015;0.105503787878788
2015;5;24;24/5/2015;0.192204545454545
2015;5;25;25/5/2015;0.186252840909091
2015;5;26;26/5/2015;0.176858901515151
2015;5;27;27/5/2015;0.170294507575758
2015;5;28;28/5/2015;0.15554071969697
2015;5;29;29/5/2015;0.156948863636364
2015;5;30;30/5/2015;0.20967803030303
2015;5;31;31/5/2015;0.226826704545455
2015;6;1;1/6/2015;0.210727272727273
2015;6;2;2/6/2015;0.208460227272727
2015;6;3;3/6/2015;0.203183712121212
2015;6;4;4/6/2015;0.208830492424242
2015;6;5;5/6/2015;0.199608901515152
2015;6;6;6/6/2015;0.15841571969697
2015;6;7;7/6/2015;0.210689393939394
2015;6;8;8/6/2015;0.199813446969697
2015;6;9;9/6/2015;0.194144886363636
2015;6;10;10/6/2015;0.205098484848485
2015;6;11;11/6/2015;0.21479071969697
2015;6;12;12/6/2015;0.198914772727273
2015;6;13;13/6/2015;0.21140625
2015;6;14;14/6/2015;0.216458333333333
2015;6;15;15/6/2015;0.200594696969697
2015;6;16;16/6/2015;0.194746212121212
2015;6;17;17/6/2015;0.195668560606061
2015;6;18;18/6/2015;0.215068181818182
2015;6;19;19/6/2015;0.197977272727273
2015;6;20;20/6/2015;0.170753787878788
2015;6;21;21/6/2015;0.19792803030303
2015;6;22;22/6/2015;0.194910037878788
2015;6;23;23/6/2015;0.191063446969697
2015;6;24;24/6/2015;0.206249053030303
2015;6;25;25/6/2015;0.206676136363636
2015;6;26;26/6/2015;0.203333333333333
2015;6;27;27/6/2015;0.207130681818182
2015;6;28;28/6/2015;0.22633428030303
2015;6;29;29/6/2015;0.211058712121212
2015;6;30;30/6/2015;0.195907196969697
2015;7;1;1/7/2015;0.211081439393939
2015;7;2;2/7/2015;0.214757575757576
2015;7;3;3/7/2015;0.207910984848485
2015;7;4;4/7/2015;0.167583333333333
2015;7;5;5/7/2015;0.20819696969697
2015;7;6;6/7/2015;0.204873106060606
2015;7;7;7/7/2015;0.20595928030303
2015;7;8;8/7/2015;0.211535037878788
2015;7;9;9/7/2015;0.215258522727273
2015;7;10;10/7/2015;0.193513257575758
2015;7;11;11/7/2015;0.110058712121212
2015;7;12;12/7/2015;0.204210227272727
2015;7;13;13/7/2015;0.184211174242424
2015;7;14;14/7/2015;0.182902462121212
2015;7;15;15/7/2015;0.190226325757576
2015;7;16;16/7/2015;0.177480113636364
2015;7;17;17/7/2015;0.183588068181818
2015;7;18;18/7/2015;0.196360795454545
2015;7;19;19/7/2015;0.198359848484849
2015;7;20;20/7/2015;0.180278409090909
2015;7;21;21/7/2015;0.176310606060606
2015;7;22;22/7/2015;0.171128787878788
2015;7;23;23/7/2015;0.177856060606061
2015;7;24;24/7/2015;0.176917613636364
2015;7;25;25/7/2015;0.161681818181818
2015;7;26;26/7/2015;0.18092803030303
2015;7;27;27/7/2015;0.177820075757576
2015;7;28;28/7/2015;0.181205492424242
2015;7;29;29/7/2015;0.176114583333333
2015;7;30;30/7/2015;0.184379734848485
2015;7;31;31/7/2015;0.168092803030303
2015;8;1;1/8/2015;0.183876893939394
2015;8;2;2/8/2015;0.185349431818182
2015;8;3;3/8/2015;0.169690340909091
2015;8;4;4/8/2015;0.183470643939394
2015;8;5;5/8/2015;0.17827178030303
2015;8;6;6/8/2015;0.170971590909091
2015;8;7;7/8/2015;0.170431818181818
2015;8;8;8/8/2015;0.17913446969697
2015;8;9;9/8/2015;0.184367424242424
2015;8;10;10/8/2015;0.169153409090909
2015;8;11;11/8/2015;0.172901515151515
2015;8;12;12/8/2015;0.127067234848485
2015;8;13;13/8/2015;0.136517045454545
2015;8;14;14/8/2015;0.128056818181818
2015;8;15;15/8/2015;0.114233901515152
2015;8;16;16/8/2015;0.14328125
2015;8;17;17/8/2015;0.137413825757576
2015;8;18;18/8/2015;0.153463068181818
2015;8;19;19/8/2015;0.153130681818182
2015;8;20;20/8/2015;0.161974431818182
2015;8;21;21/8/2015;0.187983901515151
2015;8;22;22/8/2015;0.158673295454546
2015;8;23;23/8/2015;0.183983901515152
2015;8;24;24/8/2015;0.166829545454545
2015;8;25;25/8/2015;0.156947916666667
2015;8;26;26/8/2015;0.174143939393939
2015;8;27;27/8/2015;0.154363636363636
2015;8;28;28/8/2015;0.150823863636364
2015;8;29;29/8/2015;0.121252840909091
2015;8;30;30/8/2015;0.176849431818182
2015;8;31;31/8/2015;0.154969696969697
2015;9;1;1/9/2015;0.148769886363636
2015;9;2;2/9/2015;0.152069128787879
2015;9;3;3/9/2015;0.132768939393939
2015;9;4;4/9/2015;0.137545454545455
2015;9;5;5/9/2015;0.125789772727273
2015;9;6;6/9/2015;0.163456439393939
2015;9;7;7/9/2015;0.150071022727273
2015;9;8;8/9/2015;0.140607954545455
2015;9;9;9/9/2015;0.140822916666667
2015;9;10;10/9/2015;0.13329071969697
2015;9;11;11/9/2015;0.137305871212121
2015;9;12;12/9/2015;0.141549242424242
2015;9;13;13/9/2015;0.161484848484848
2015;9;14;14/9/2015;0.155332386363636
2015;9;15;15/9/2015;0.151837121212121
2015;9;16;16/9/2015;0.152577651515151
2015;9;17;17/9/2015;0.159850378787879
2015;9;18;18/9/2015;0.150111742424242
