Year;Month;Day;AT;BG;CH;CZ;DE;ES;FR;HU;IT;ME;NO;PL;PT;RO;RS;SE;SK
2015;1;1;0.0801545812254075;0.429597701149425;0;0.208891666666667;0.022737840360123;0.120310294899287;0.273674011849688;0.555744047619048;0;0;0.398723042858912;0;0.406902855153203;0;0;0.17;0.03625
2015;1;2;0.0682574480044969;0.468497232865049;0;0.215407051282051;0.0238315217391304;0.215474423122743;0.403361131401672;0.4828125;0;0;0.448051282051282;0.034375;0.479140552460538;0;0;0.486037864544163;0.0430444847020934
2015;1;3;0.118153456998314;0.493215197956577;0;0.227786538461539;0.0269857542819499;0.140333754879859;0.181920095771447;0.399761904761905;0;0;0.504127694165738;0.0343563034188034;0.374825905292479;0;0;0.439286182836133;0.0333564814814815
2015;1;4;0.0574086565486228;0.405944018731375;0;0.148017948717949;0.0232746623847167;0.124262293579663;0.152676324973622;0.38296130952381;0;0;0.558817416078286;0.0344764957264957;0.322730965645311;0;0;0.314540925043871;0.0258433977455717
2015;1;5;0.154394322653176;0.455034057045551;0;0.258488461538462;0.0149619153491436;0.184025677681861;0.344305454102751;0.482950148809524;0;0.398257797270955;0.762607487922705;0.0574786324786325;0.428418059424327;0.0165072368421053;0;0.580069148491686;0.0518417874396135
2015;1;6;0.114062675660483;0.463415283099191;0;0.199675641025641;0.0246132520860782;0.141951210571654;0.391065051538025;0.461741071428572;0;0.312908138401559;0.726592592592593;0.046028311965812;0.344275185701021;0.1805625;0;0.500075729088326;0.0531360708534622
2015;1;7;0.236627318718381;0.54573754789272;0;0.30298782051282;0.0262507548309179;0.265725518227305;0.389705583962341;0.435907738095238;0;0.522202729044834;0.723434039390561;0.0573290598290598;0.425324976787372;0.257964035087719;0;0.539572365672265;0.0610024154589372
2015;1;8;0.227114952220348;0.710861004682844;0;0.21800641025641;0.0321996459156785;0.212177654368505;0.300452479506534;0.413374255952381;0;0.622104044834308;0.655096525455221;0.0457264957264957;0.364966341689879;0.479968530701754;0;0.476252402440043;0.0658846618357488
2015;1;9;0.154690837549185;0.662994891443167;0;0.0432153846153846;0.019443620992534;0.179872069793442;0.322797459621784;0.400186011904762;0;0.390867446393762;0.656269803666543;0.0342227564102564;0.271512302692665;0.286206140350877;0;0.489625114899306;0.0334631642512077
2015;1;10;0.0321430578976953;0.475893997445722;0;0.463964102564103;0.0187187088274045;0.131483568849545;0.118030192354517;0.380751488095238;0;0.245439814814815;0.614678480738263;0.0345379273504273;0.241037024141133;0.244507675438596;0;0.332330575749979;0.0325533413848631
